vel,flux,err
-5.947002e+01,3.717704e-04,3.000000e-04
-5.215438e+01,4.114047e-04,3.000000e-04
-4.483873e+01,-3.839626e-05,3.000000e-04
-3.825465e+01,1.562959e-04,3.000000e-04
-3.093900e+01,-7.511282e-05,3.000000e-04
-2.435492e+01,4.248095e-04,3.000000e-04
-1.703928e+01,-1.342756e-04,3.000000e-04
-1.045520e+01,1.414754e-04,3.000000e-04
-3.139550e+00,1.408196e-04,3.000000e-04
3.444531e+00,4.469559e-04,3.000000e-04
1.076018e+01,4.138829e-04,3.000000e-04
1.807582e+01,2.543893e-04,3.000000e-04
2.465990e+01,7.435875e-05,3.000000e-04
3.197555e+01,3.710658e-04,3.000000e-04
3.855963e+01,1.980862e-04,3.000000e-04
4.587528e+01,1.201384e-03,3.000000e-04
5.245936e+01,1.871038e-03,3.000000e-04
5.977501e+01,1.850914e-03,3.000000e-04
6.709065e+01,1.401329e-03,3.000000e-04
7.367473e+01,1.978769e-03,3.000000e-04
8.099038e+01,2.402303e-03,3.000000e-04
8.757446e+01,2.461788e-03,3.000000e-04
9.489011e+01,2.741882e-03,3.000000e-04
1.014742e+02,3.783139e-03,3.000000e-04
1.087898e+02,3.813148e-03,3.000000e-04
1.161055e+02,4.284982e-03,3.000000e-04
1.226896e+02,4.451275e-03,3.000000e-04
1.300052e+02,5.106008e-03,3.000000e-04
1.365893e+02,5.293023e-03,3.000000e-04
1.439049e+02,6.183600e-03,3.000000e-04
1.504890e+02,5.889027e-03,3.000000e-04
1.578047e+02,6.621560e-03,3.000000e-04
1.651203e+02,7.322989e-03,3.000000e-04
1.717044e+02,7.714419e-03,3.000000e-04
1.790200e+02,7.342820e-03,3.000000e-04
1.856041e+02,7.541688e-03,3.000000e-04
1.929198e+02,7.963536e-03,3.000000e-04
1.995038e+02,8.304338e-03,3.000000e-04
2.068195e+02,8.120832e-03,3.000000e-04
2.141351e+02,7.477650e-03,3.000000e-04
2.207192e+02,7.502145e-03,3.000000e-04
2.280349e+02,7.406713e-03,3.000000e-04
2.346189e+02,7.243468e-03,3.000000e-04
2.419346e+02,6.947915e-03,3.000000e-04
2.492502e+02,6.862384e-03,3.000000e-04
2.558343e+02,6.526633e-03,3.000000e-04
2.631500e+02,6.228027e-03,3.000000e-04
2.697340e+02,5.312992e-03,3.000000e-04
2.770497e+02,5.485638e-03,3.000000e-04
2.836338e+02,4.781458e-03,3.000000e-04
